id,エネミー名前,タイプ,座標_x,座標_y,座標_z,移動方向と移動量,HP,移動速度,攻撃時間,出現星数
1,moai,NotMoveEnemy,0,2,0,0,1000000,0,0,1
2,moai,MoveEnemy,9,2,0,-5,1200000,4,2,1
3,moai,NotMoveEnemy,16.5,2,0,0,1000000,0,0,1
4,moai,NotMoveEnemy,31.5,4,0,0,2000000,0,0,1
5,moai,NotMoveEnemy,35.5,4,0,0,2000000,0,0,1
6,moai,MoveEnemy,39,2,0,3,2000000,2,3,1
7,moai,AirMoveEnemy,50,10,0,8,2000000,2,1.5,1
8,moai,AirMoveEnemy,55,8.5,0,9,2500000,3,2,1
9,moai,AirMoveEnemy,74,2,0,9,3000000,3,2,1
10,moai,MoveEnemy,74,6,0,7,2300000,4,1,1
11,moai,NotMoveEnemy,84.5,2,0,0,4000000,0,0,1
12,moai,NotMoveEnemy,86.5,2,0,0,4000000,0,0,1
13,moai,NotMoveEnemy,88.5,2,0,0,4000000,0,0,1
14,moai,NotMoveEnemy,90.5,2,0,0,4000000,0,0,1
15,moai,NotMoveEnemy,92.5,2,0,0,4000000,0,0,1
16,moai,NotMoveEnemy,94.5,2,0,0,4000000,0,0,1
17,moai,NotMoveEnemy,96.5,2,0,0,4000000,0,0,2
18,boss,None,0,0,0,0,0,0,0,0
