星id,x,y,z,point
1,16,4,0,1
2,14.5,3,0,1
3,15.5,3,0,1
4,16.5,3,0,1
5,17.5,3,0,1
6,15.5,2,0,1
7,16.5,2,0,1
8,15,1,0,1
9,17,1,0,1
10,27.5,6.5,0,1
11,26,5.5,0,1
12,27,5.5,0,1
13,28,5.5,0,1
14,29,5.5,0,1
15,27,4.5,0,1
16,28,4.5,0,1
17,26.5,3.5,0,1
18,28.5,3.5,0,1
19,60.5,4.5,0,1
20,61.5,4.5,0,1
21,62.5,4.5,0,1
22,61.5,3.5,0,1
23,60.5,2.5,0,1
24,61.5,2.5,0,1
25,62.5,2.5,0,1
26,61.5,1.5,0,1
27,61.5,0.5,0,1
28,62.5,0.5,0,1
29,65.5,4.5,0,1
30,66.5,4.5,0,1
31,67.5,4.5,0,1
32,68.5,4.5,0,1
33,67,3.5,0,1
34,68,3.5,0,1
35,67.5,2.5,0,1
36,67.5,1.5,0,1
37,66.5,0.5,0,1
38,71.5,2.5,0,1
39,72.5,3.5,0,1
40,73.5,4.5,0,1
41,72.5,2.5,0,1
42,72.5,1.5,0,1
43,72.5,0.5,0,1
