id,エネミー名前,タイプ,座標_x,座標_y,座標_z,移動方向と移動量,HP,移動速度,攻撃時間,出現星数
1,moai,NotMoveEnemy,0,2,0,0,1000000,0,0,1
2,moai,MoveEnemy,9,2,0,-5,1200000,4,2,1
3,moai,AirMoveEnemy,19.8,7,0,-4,1000000,4,1.5,1
4,moai,AirMoveEnemy,33,7.5,0,6,1000000,3,3,1
5,moai,NotMoveEnemy,58.75,2,0,0,3000000,0,0,1
6,moai,MoveEnemy,72,2,0,3,2000000,2,3,1
7,moai,AirMoveEnemy,78,7,0,8,2000000,2,1.5,1
8,moai,MoveEnemy,81.5,2,0,9,2500000,3,2,1
9,moai,MoveEnemy,89,2,0,9,3000000,3,4,1
10,moai,AirMoveEnemy,93.5,7,0,7,2300000,4,1,1
11,moai,AirMoveEnemy,102,7,0,6,2300000,3,1,1
12,moai,NotMoveEnemy,107,2,0,0,4000000,0,0,1
13,moai,MoveEnemy,110,2,0,3,1000000,2,1,1
14,boss,None,0,0,0,0,0,0,0,0
